protocol,probe_angle,length,trajectory_count,rate_tt,rate_tm,rate_mm,effective_temperature_rate,effective_rate_bootstrap_low,effective_rate_bootstrap_high,minimum_eigenvalue_rate,maximum_eigenvalue_rate,condition_number,mean_record_excitation,mean_score_temperature,mean_score_memory
weak,0.72,500,32,0.06930304829766448,-0.016055675352644936,0.003751592963789449,0.0005896474789508915,0.00011399998184749623,0.0012436076994387186,3.029287329466999e-05,0.07302434838815927,2410.6114886436953,0.045125,0.6122368510763643,-0.16976232931176227
weak,0.72,2000,32,0.10448460720174457,-0.024263715729941064,0.005663379201390264,0.0005311405366717759,0.0002533604139562922,0.0007667710295550437,2.7315945824796933e-05,0.11012067045731004,4031.3694851944115,0.046375,5.653270285699286,-1.3943849559030497
full_swap,1.5707963267948966,500,32,0.05226690063656342,-0.012906178343543285,0.0047583823227702144,0.01726142437664553,0.009903280585252283,0.022375406731273334,0.0014786949026619747,0.05554658805667166,37.56460373040824,0.058499999999999996,-1.263964735674472,0.21309421326876077
full_swap,1.5707963267948966,2000,32,0.08242656107718742,-0.013924866770028323,0.0029925470480452105,0.01763161835784087,0.009683833979476615,0.02408636607107585,0.0006222333976163945,0.08479687472761624,136.27824390726985,0.05984375,-1.785916536932497,0.43251315790016065
