family,design,grid_index,temperature,memory_angle,false_positive,false_negative,equal_grid_prior_weight,uniform_volume_prior_weight,temperature_variance_per_readout,temperature_sd_at_8e6,oracle_temperature_variance_per_readout,relative_c_efficiency,oracle_sd_inflation
internal_basis,center_local,0,0.6,0.2,0.005,0.01,0.012345679012345678,0.0008538539382695229,196274.2488258128,0.1566342271128076,183704.96287611796,0.9359605958250301,1.0336445459032433
internal_basis,center_local,1,0.6,0.2,0.005,0.04,0.012345679012345678,0.0031307977736549164,215376.1882393543,0.16407932084793406,202006.40525162997,0.9379235787529768,1.032562320552236
internal_basis,center_local,2,0.6,0.2,0.005,0.12,0.012345679012345678,0.002276943835385394,276801.28665893857,0.186011184696962,261948.41306772342,0.9463410240230705,1.0279598832445664
internal_basis,center_local,3,0.6,0.2,0.02,0.01,0.012345679012345678,0.0031307977736549164,266492.7938804513,0.18251465485011445,255758.0829635702,0.9597185696447136,1.0207703599212947
internal_basis,center_local,4,0.6,0.2,0.02,0.04,0.012345679012345678,0.011479591836734691,295435.8667004673,0.19217045386208154,283606.5399738605,0.9599597474107632,1.0206421240340537
internal_basis,center_local,5,0.6,0.2,0.02,0.12,0.012345679012345678,0.008348794063079775,392058.5617551531,0.2213759702844781,377423.79997409467,0.9626720005410873,1.0192033201783774
internal_basis,center_local,6,0.6,0.2,0.06,0.01,0.012345679012345678,0.0022769438353853937,515860.96568708326,0.25393428423685804,511256.35307197773,0.9910739270435541,1.0044931385146434
internal_basis,center_local,7,0.6,0.2,0.06,0.04,0.012345679012345678,0.008348794063079775,581088.6357328142,0.2695108151199164,575366.6259714339,0.9901529484324466,1.004960188416148
internal_basis,center_local,8,0.6,0.2,0.06,0.12,0.012345679012345678,0.006071850227694383,810097.2924343216,0.31821716099904196,800495.1560910228,0.9881469344077862,1.0059797443438931
internal_basis,center_local,9,0.6,0.5,0.005,0.01,0.012345679012345678,0.0019923258559622196,4188.769044343951,0.022882223024500783,3961.4465960821126,0.9457304888726704,1.0282916396969368
