temperature,memory_angle,apparent_ratio,nuisance_ratio,alternating_recovery,determinant_gain
0.35,0.0,1.0,0.142094627731301,1.0525934869939424,0.9769191943457346
0.35,0.11818181818181818,0.994309925065438,0.14172836053024507,1.0536495899775027,0.9789918981963208
0.35,0.23636363636363636,0.9775045368101258,0.14082162951706373,1.0567026486404354,0.9854909410032565
0.35,0.35454545454545455,0.9503306880391468,0.13991584826760728,1.061420313196231,0.9971576375419106
0.35,0.4727272727272727,0.9138854272159371,0.13977920424480036,1.0673317797968707,1.0149843214536194
0.35,0.5909090909090909,0.8694347841902181,0.14116538769311948,1.0740377794663223,1.0400961011885361
0.35,0.7090909090909091,0.8182494221577203,0.14451723106428083,1.081519482179474,1.0737722148479263
0.35,0.8272727272727273,0.761570234218893,0.14990923819422683,1.0903123524134317,1.1172817169497977
0.35,0.9454545454545454,0.7008545644715387,0.15755855581986736,1.1012881334183033,1.1711212653120375
0.35,1.0636363636363637,0.6383841872518523,0.16860844326593474,1.1145767307937329,1.2333072778607987
0.35,1.1818181818181819,0.5780255098348581,0.1854243470962222,1.127726389073881,1.2972469442698877
0.35,1.3,0.5255125342690384,0.2128035610681255,1.1355549502486553,1.3528280287905021
0.5888888888888888,0.0,1.0,0.1262708254952048,0.9752642959487267,0.9503915792003625
0.5888888888888888,0.11818181818181818,0.9994809761336713,0.12598335893879856,0.9750213899117477,0.9511662265255681
0.5888888888888888,0.23636363636363636,0.9976171773309405,0.12541957736913725,0.9752360098377305,0.954882095214824
0.5888888888888888,0.35454545454545455,0.9934930845939519,0.12541463017758786,0.9789022484010429,0.9658120985554376
0.5888888888888888,0.4727272727272727,0.9856043549840247,0.12715458140445482,0.99070474875555,0.9906366069624758
0.5888888888888888,0.5909090909090909,0.9719217214651624,0.1319163724347067,1.014405334200933,1.0357179157196263
0.5888888888888888,0.7090909090909091,0.9500797727064415,0.14099078090909936,1.048388833198057,1.1020819378886688
0.5888888888888888,0.8272727272727273,0.9178489876780267,0.15620370700715613,1.083674426915341,1.181732525745511
0.5888888888888888,0.9454545454545454,0.8740700265974825,0.18081323191442927,1.107737272136335,1.259290343610215
0.5888888888888888,1.0636363636363637,0.8200133704957729,0.21934740792576424,1.1122052039762809,1.3194633530870121
0.5888888888888888,1.1818181818181819,0.7605868112436525,0.27633941230851117,1.097984642295992,1.3549183569797214
0.5888888888888888,1.3,0.7043281444355524,0.358459455226481,1.0718566199553436,1.3640407787109383
0.8277777777777777,0.0,1.0,0.11716787808115539,0.87473044337959,0.893246625379875
0.8277777777777777,0.11818181818181818,1.0017951187560117,0.1174681898503403,0.8752483391617359,0.8945200794596191
0.8277777777777777,0.23636363636363636,1.006653459798497,0.1187697466693724,0.8791243820775462,0.9012271738555416
0.8277777777777777,0.35454545454545455,1.0129925684461074,0.12216782388371343,0.8925715231809019,0.9212097402787042
0.8277777777777777,0.4727272727272727,1.0181902264120082,0.12916612731530808,0.9219404267424062,0.9633004289603136
0.8277777777777777,0.5909090909090909,1.018685136999447,0.14136870886362793,0.9665695536632103,1.0295138711282634
0.8277777777777777,0.7090909090909091,1.010300367039304,0.16051316423574305,1.0149729662136262,1.1096079477179055
0.8277777777777777,0.8272727272727273,0.9890032528670919,0.1890837723812445,1.0513030117302586,1.1856932333901014
0.8277777777777777,0.9454545454545454,0.952286463724966,0.23069367174018537,1.0665661017273693,1.2436679392211099
0.8277777777777777,1.0636363636363637,0.9010051742465754,0.2888724884407738,1.0630780677648217,1.2802723681355206
0.8277777777777777,1.1818181818181819,0.8408022856112692,0.3657345187666908,1.0492345748473748,1.2995515741804917
0.8277777777777777,1.3,0.7818134181391043,0.4644213431646313,1.0328487789458847,1.3041255825850404
1.0666666666666664,0.0,1.0,0.11980065192743983,0.7970553742345532,0.8432949905901109
1.0666666666666664,0.11818181818181818,1.0025599818106885,0.12074425635233012,0.8000479850500847,0.8468748475309461
1.0666666666666664,0.23636363636363636,1.009644608893793,0.12398605983088468,0.8118439237407451,0.8611435944133714
1.0666666666666664,0.35454545454545455,1.0194594227595348,0.1306093917596225,0.838776124758011,0.8943759848261003
1.0666666666666664,0.4727272727272727,1.0290131606986626,0.14200827334879962,0.8841479782290785,0.9524168279841052
1.0666666666666664,0.5909090909090909,1.0342208856740773,0.15958901996314806,0.9411229913045326,1.0303204510888742
1.0666666666666664,0.7090909090909091,1.0302763616776431,0.18493013440776407,0.9940258443548704,1.1120234246221665
1.0666666666666664,0.8272727272727273,1.012535350243913,0.22041483958964536,1.0289713809122973,1.1804487430930455
1.0666666666666664,0.9454545454545454,0.9780920847111516,0.26926351165637785,1.0426054496538237,1.2279120278470574
1.0666666666666664,1.0636363636363637,0.9278028110034713,0.3340269006068045,1.040931894603829,1.2569819670305638
1.0666666666666664,1.1818181818181819,0.8677228874568902,0.4156386018953335,1.0322343892204129,1.2733153285643957
1.0666666666666664,1.3,0.8085521649869405,0.5157197290673426,1.0229378969314875,1.2791636582086772
1.3055555555555554,0.0,1.0,0.12934050674286404,0.7537383616798995,0.8173756640124408
1.3055555555555554,0.11818181818181818,1.0026860922156164,0.1306991357057986,0.7589039997748818,0.8231074169511344
1.3055555555555554,0.23636363636363636,1.010137268306658,0.13514777698817898,0.7769622482033446,0.8436468423312112
1.3055555555555554,0.35454545454545455,1.0205219546605109,0.1436370778660379,0.8128453424799221,0.8859416972972406
1.3055555555555554,0.4727272727272727,1.030783465514727,0.15732666486267816,0.8667470190326411,0.9524710271701144
1.3055555555555554,0.5909090909090909,1.0367454685102566,0.17736468919300022,0.9287117474478199,1.034397084925828
1.3055555555555554,0.7090909090909091,1.0335013242866267,0.2051721414817371,0.9826770423095894,1.1144053529761455
1.3055555555555554,0.8272727272727273,1.0163374980119073,0.24305257327579885,1.0171826426349564,1.1777790577847596
1.3055555555555554,0.9454545454545454,0.9823685618482719,0.29398531124984245,1.031487047130017,1.220430522830159
1.3055555555555554,1.0636363636363637,0.9325943860627123,0.3600424272529147,1.0323204832786286,1.2468362447946588
1.3055555555555554,1.1818181818181819,0.8732658655696052,0.4417259602678178,1.0272228995927406,1.2625396177520567
1.3055555555555554,1.3,0.8151357344425338,0.5400412962516917,1.0218576048908459,1.2694478118951882
1.5444444444444443,0.0,1.0,0.1410176264225334,0.7329935556993025,0.8083606391568421
1.5444444444444443,0.11818181818181818,1.002558770914869,0.14256071807104218,0.7394318127627422,0.8153748447098007
1.5444444444444443,0.23636363636363636,1.0096382368222145,0.14752384766199408,0.760958344431849,0.8394335141456263
1.5444444444444443,0.35454545454545455,1.0194386987772988,0.1567393075463862,0.801319170990398,0.8862709689865529
1.5444444444444443,0.4727272727272727,1.0289599120509632,0.1711930929455076,0.8589138797256848,0.9563098132165953
1.5444444444444443,0.5909090909090909,1.034110274953413,0.19188601230154134,0.9225919452138635,1.0390008680553076
1.5444444444444443,0.7090909090909091,1.0300994563423578,0.22019380305676411,0.9767062536607971,1.1170385083955547
1.5444444444444443,0.8272727272727273,1.0123636104609155,0.25841754410081097,1.0112613133659698,1.1773517140478504
1.5444444444444443,0.9454545454545454,0.9781956806093917,0.3094079870150855,1.026600431512151,1.217640426063142
1.5444444444444443,1.0636363636363637,0.9287702453527193,0.37498737331409326,1.0294422103812817,1.2429999738857116
1.5444444444444443,1.1818181818181819,0.8704159076133666,0.45549465212706297,1.0267402957209149,1.258640097568633
1.5444444444444443,1.3,0.8137270776067682,0.5516556552977219,1.0237381749196968,1.266271326383211
