length,step,i_tt,i_tm,i_mm,effective,determinant,condition_number
8,0.001,0.47556337458268744,-0.09927629943100211,0.023566592919009866,0.05735342533016424,0.0013516248272668107,182.31394992990576
8,0.0005,0.4755630549889514,-0.09927628269351303,0.023566598659023177,0.05735334861417363,0.0013516233485412732,182.3139197803309
8,0.0001,0.47556295271901416,-0.09927627733810246,0.023566600496093545,0.05735332406487065,0.0013516228753597942,182.31391013126535
8,5e-05,0.475562949524127,-0.09927627717015282,0.023566600553204753,0.05735332329847487,0.0013516228605739693,182.31390983013753
4,0.0001,0.20973945147918743,-0.03530192332790401,0.00808370651207771,0.05557430597480137,0.00044924637911270145,103.60484004024399
6,0.0001,0.3417582486109926,-0.06729397004167788,0.015880586139605392,0.0566001087186343,0.0008988429020173024,140.2930847435809
10,0.0001,0.6097538007588962,-0.13113911183931662,0.031174750121949327,0.05810650329117706,0.0018114557205626714,224.76863887418784
12,0.0001,0.744028517577483,-0.16295446273124742,0.038756162467836926,0.05886891370632208,0.0022815331839072897,266.5664625305527
14,0.0001,0.8783213981072805,-0.19475532875184087,0.0463298591224069,0.05963472830703964,0.002762868561268154,307.4504650333381
