schedule,x_shots,pure_effective_information_per_block,optimal_schedule_block_fraction,mixed_effective_information_per_block,mixed_minimum_eigenvalue
XZXZZZXZ,3,0.00027366906494422083,0.025,0.0005198590224475552,0.00042547472016114286
XZXZZZXX,4,0.00026905740894705987,0.02,0.0005210282519270137,0.0004262903948263983
XZXZZXZZ,3,0.00027207145674237876,0.02,0.0005198140043524146,0.0004258131355599614
XZXZZXZX,4,0.0002475367987664068,0.02,0.000522102196710561,0.00042735587337188255
XZXZZXXZ,4,0.0001962182839011506,0.02,0.0005201350146558092,0.00042565748753648457
XZXZZXXX,5,0.0002466385361197254,0.02,0.0005227014491656634,0.00042751635314185535
XZXZXZZZ,3,0.00035530423144813916,0.03,0.0005224876116563526,0.00042750295466624164
XZXZXZZX,4,0.0002492522780847273,0.02,0.0005221769458542136,0.00042742031885014894
XZXZXZXZ,4,6.069340513509269e-05,0.025,0.0005234830305210214,0.00042849243606425495
XZXZXZXX,5,5.033461815176499e-05,0.02,0.0005238863381425429,0.0004286871226140687
XZXZXXZZ,4,0.00024875552243930343,0.02,0.0005221493493210994,0.00042739049487813645
XZXZXXZX,5,3.998394211886247e-05,0.02,0.0005238387003205225,0.0004286406070207766
XZXZXXXZ,5,3.945367859969906e-05,0.02,0.0005238473970726742,0.0004286468862627051
XZXZXXXX,6,3.84020816023567e-05,0.03,0.0005263422726834999,0.0004304394232260459
XZXXZZZZ,3,0.00031581554530224487,0.025,0.000520958740363564,0.00042623996596860905
XZXXZZZX,4,0.0002696748099731694,0.02,0.0005210609166843017,0.0004263144939810372
XZXXZZXZ,4,0.00019705180567408664,0.02,0.0005201915407462843,0.00042570812169331375
XZXXZZXX,5,0.0001958016713195232,0.015,0.0005211463084325851,0.00042653711969726366
XZXXZXZZ,4,0.00024779705243005434,0.02,0.0005221429115999099,0.0004273870569837888
XZXXZXZX,5,3.9862835131576624e-05,0.02,0.0005238503967512909,0.0004286522476635475
XZXXZXXZ,5,2.4168026636198214e-05,0.015,0.0005219547666299729,0.00042733775229436555
XZXXZXXX,6,2.3118584272743825e-05,0.02,0.0005241587307892592,0.0004286730480874048
XZXXXZZZ,4,0.0003530042752640794,0.025,0.0005231982032724014,0.00042787328219096726
XZXXXZZX,5,0.0002483317503184229,0.02,0.0005228010818468798,0.0004275984822613623
XZXXXZXZ,5,3.937906565197602e-05,0.02,0.0005238967823053553,0.0004286916595590707
XZXXXZXX,6,2.2947446744470135e-05,0.02,0.0005242194579930803,0.0004287255977955314
XZXXXXZZ,5,0.000285876098688187,0.025,0.0005248765059291394,0.0004292055359894978
XZXXXXZX,6,2.460717983898686e-05,0.03,0.0005263886707410625,0.00043047402057252727
XZXXXXXZ,6,2.3978988060141537e-05,0.03,0.0005263698741082568,0.00043045652951290646
