subset_mask,order,normalized_moment_T0.7,normalized_moment_T1.3,absolute_difference
000001,1,0.242324792763893,0.24232479276389296,2.7755575615628914e-17
000010,1,0.24412437118673527,0.24412437118673522,5.551115123125783e-17
000011,2,0.05348272562879535,0.053482725628795365,1.3877787807814457e-17
000100,1,0.24708664054842863,0.24708664054842855,8.326672684688674e-17
000101,2,0.05621330211279723,0.05621330211279723,0.0
000110,2,0.0542920233631011,0.054292023363101065,3.469446951953614e-17
000111,3,0.011568047406473596,0.011568047406473594,1.734723475976807e-18
001000,1,0.25196280468767623,0.2519628046876763,5.551115123125783e-17
001001,2,0.05860909080683243,0.058609090806832444,1.3877787807814457e-17
001010,2,0.057481053166419736,0.05748105316641972,1.3877787807814457e-17
001011,3,0.012374870087682262,0.01237487008768226,1.734723475976807e-18
001100,2,0.05562420086222628,0.055624200862226296,1.3877787807814457e-17
001101,3,0.012439296533184967,0.012439296533184969,1.734723475976807e-18
001110,3,0.011867574437206685,0.011867574437206683,1.734723475976807e-18
001111,4,0.002507308150386593,0.0025073081503865914,1.734723475976807e-18
010000,1,0.2599894132805196,0.2599894132805196,0.0
010001,2,0.06127764134394724,0.06127764134394722,2.0816681711721685e-17
010010,2,0.0606314976200155,0.06063149762001546,3.469446951953614e-17
010011,3,0.01312952584724278,0.013129525847242774,6.938893903907228e-18
010100,2,0.05956788642510548,0.05956788642510545,2.7755575615628914e-17
010101,3,0.013400186583338074,0.013400186583338072,1.734723475976807e-18
010110,3,0.012838945206145773,0.012838945206145772,1.734723475976807e-18
010111,4,0.0027205824801659058,0.0027205824801659045,1.3010426069826053e-18
011000,2,0.05781708589569049,0.05781708589569049,0.0
011001,3,0.013300004067523958,0.013300004067523963,5.204170427930421e-18
011010,3,0.012944996980924254,0.012944996980924254,0.0
011011,4,0.002772688528227661,0.0027726885282276605,4.336808689942018e-19
011100,3,0.012360623106204525,0.012360623106204527,1.734723475976807e-18
011101,4,0.0027495560307002364,0.002749556030700236,4.336808689942018e-19
011110,4,0.0026130364523854507,0.0026130364523854503,4.336808689942018e-19
011111,5,0.000550571571970238,0.0005505715719702379,1.0842021724855044e-19
100000,1,0.2732019392872114,0.27320193928721137,5.551115123125783e-17
100001,2,0.06489567321264483,0.06489567321264482,1.3877787807814457e-17
100010,2,0.06454228000809945,0.06454228000809945,0.0
100011,3,0.014023388336320082,0.014023388336320082,0.0
100100,2,0.06396056272967039,0.06396056272967038,1.3877787807814457e-17
100101,3,0.014436184143714668,0.014436184143714668,0.0
100110,3,0.013864462047736385,0.013864462047736384,1.734723475976807e-18
100111,4,0.0029427173201471133,0.002942717320147113,4.336808689942018e-19
101000,2,0.06300300330953884,0.06300300330953885,1.3877787807814457e-17
101001,3,0.014542235918493147,0.014542235918493147,0.0
101010,3,0.014187228831893437,0.014187228831893437,0.0
101011,4,0.003043549610257758,0.003043549610257757,8.673617379884035e-19
101100,3,0.013602854957173711,0.013602854957173716,5.204170427930421e-18
101101,4,0.0030308978315163175,0.003030897831516317,4.336808689942018e-19
101110,4,0.0028838975344155473,0.002883897534415547,4.336808689942018e-19
101111,5,0.0006081583242210218,0.0006081583242210216,2.168404344971009e-19
110000,2,0.0614267736236014,0.0614267736236014,0.0
110001,3,0.014368437400078777,0.014368437400078775,1.734723475976807e-18
110010,3,0.014145084665992368,0.014145084665992371,3.469446951953614e-18
110011,4,0.0030528617181219127,0.003052861718121913,4.336808689942018e-19
110100,3,0.013777425800651224,0.013777425800651225,1.734723475976807e-18
110101,4,0.0030889361814293607,0.0030889361814293607,0.0
110110,4,0.002952416603114575,0.002952416603114575,0.0
110111,5,0.000624571344858293,0.0006245713448582928,2.168404344971009e-19
111000,3,0.01317222595021353,0.013172225950213529,1.734723475976807e-18
111001,4,0.003019383963662503,0.003019383963662503,0.0
111010,4,0.002931590627396606,0.0029315906273966056,4.336808689942018e-19
111011,5,0.0006268778666677495,0.0006268778666677493,2.168404344971009e-19
111100,4,0.0027870748303186663,0.002787074830318667,8.673617379884035e-19
111101,5,0.0006188816479045956,0.0006188816479045956,0.0
111110,5,0.0005873958706484192,0.0005873958706484192,0.0
111111,6,0.0001236533923122668,0.0001236533923122668,0.0
