basis_angle,fixed_effective_information,alternating_effective_information,block_mixture_effective_information,fixed_minimum_eigenvalue,alternating_minimum_eigenvalue,block_mixture_minimum_eigenvalue
0.01,2.0934992628340865e-10,9.338412876314095e-09,1.0105765169132752e-08,1.1882290162233246e-10,5.299833417130897e-09,5.735161221266579e-09
0.013399403191028387,6.744123592916651e-10,3.009335114434464e-08,3.2567111452053155e-08,3.8284197950846397e-10,1.7081003885486457e-08,1.8484226074575442e-08
0.017954400587574172,2.1713879028162353e-09,9.69462403688226e-08,1.0492118962535102e-07,1.2329621740987726e-09,5.504093602950477e-08,5.956378316623643e-08
0.024057825252614316,6.9839938832139126e-09,3.1210848844276384e-07,3.3781197023019516e-07,3.967768968732258e-09,1.772986110595105e-07,1.9187406077536858e-07
0.032236050045908356,2.2422911027941694e-08,1.0033000277243076e-06,1.0860499759512976e-06,1.2751095026104179e-08,5.707045452621435e-07,6.176519865350052e-07
0.04319438318512952,7.175990424101997e-08,3.21330767644179e-06,3.478594914618771e-06,4.0877393167331675e-08,1.8341167271155609e-06,1.9851042168598425e-06
0.05787789558853271,2.2832774573822157e-07,1.0190747720351112e-05,1.1029003908535895e-05,1.304708965521161e-07,5.8719703725460275e-06,6.355291228859404e-06
0.0775529258838993,7.189715387490025e-07,3.144545107017227e-05,3.3972488437339354e-05,4.1318543456755254e-07,1.8610375805308357e-05,2.0134843899585257e-05
0.10391629225623082,2.221822050618716e-06,8.996614584855234e-05,9.658631719733357e-05,1.2904438055180203e-06,5.7266886436539985e-05,6.18482902866548e-05
0.13924162980579777,6.637016205041091e-06,0.0002142903003542196,0.00022657488313501672,3.9326777296992685e-06,0.00016014649530420372,0.00017174721859861385
0.18657547387437998,1.8646126843990807e-05,0.00037018688476231354,0.00038366909702089447,1.1483215278143654e-05,0.00033313209987232285,0.000350182663495595
0.25,4.69132998168198e-05,0.00045363817256932615,0.000467512309816398,3.114134129245178e-05,0.000430825728142944,0.00044736806628331745
