excitation_scale,transformed_temperature,transformed_false_negative,maximum_absolute_probability_difference
1.01,0.9108601140451781,0.04930693069306935,2.220446049250313e-16
1.05,0.9562749655048649,0.08476190476190482,2.220446049250313e-16
1.1,1.0179903328282356,0.1254545454545456,2.220446049250313e-16
1.2,1.1618672747675134,0.19666666666666666,2.220446049250313e-16
