true_temperature,memory_angle,fitted_markov_temperature,bias,relative_bias,minimum_kl
0.4,0.0,0.4,0.0,0.0,0.0
0.4,0.13,0.4,0.0,0.0,1.8300311322994034e-06
0.4,0.26,0.4,0.0,0.0,3.0006382423342082e-05
0.4,0.39,0.4,0.0,0.0,0.00015850827874108742
0.4,0.52,0.3833333333333333,-0.01666666666666672,-0.041666666666666796,0.00017618575520172985
0.4,0.65,0.3833333333333333,-0.01666666666666672,-0.041666666666666796,0.0003146372271245479
0.4,0.78,0.3666666666666667,-0.033333333333333326,-0.08333333333333331,0.0006931496438690177
0.4,0.91,0.35,-0.050000000000000044,-0.1250000000000001,0.001590793103083743
0.4,1.04,0.35,-0.050000000000000044,-0.1250000000000001,0.0029682692712122982
0.4,1.17,0.33333333333333337,-0.06666666666666665,-0.16666666666666663,0.005590521587301778
0.4,1.3,0.31666666666666665,-0.08333333333333337,-0.20833333333333343,0.009813448337645858
0.65,0.0,0.65,0.0,0.0,1.5543122344752192e-15
0.65,0.13,0.65,0.0,0.0,5.167846150122557e-06
0.65,0.26,0.65,0.0,0.0,8.386393675863246e-05
0.65,0.39,0.6333333333333333,-0.01666666666666672,-0.02564102564102572,0.000145404751328293
0.65,0.52,0.6166666666666667,-0.033333333333333326,-0.051282051282051266,0.0004325411494037201
0.65,0.65,0.6000000000000001,-0.04999999999999993,-0.07692307692307682,0.0010686496821603608
0.65,0.78,0.5666666666666667,-0.08333333333333337,-0.12820512820512825,0.0021831262584759425
0.65,0.91,0.5333333333333333,-0.1166666666666667,-0.17948717948717952,0.004296165074535452
0.65,1.04,0.5,-0.15000000000000002,-0.23076923076923078,0.008138818783003599
0.65,1.17,0.4666666666666667,-0.18333333333333335,-0.28205128205128205,0.015030872707956444
0.65,1.3,0.43333333333333335,-0.21666666666666667,-0.3333333333333333,0.026109940801365417
0.9,0.0,0.8999999999999999,-1.1102230246251565e-16,-1.2335811384723962e-16,0.0
0.9,0.13,0.8999999999999999,-1.1102230246251565e-16,-1.2335811384723962e-16,8.214199373357545e-06
0.9,0.26,0.8833333333333333,-0.01666666666666672,-0.018518518518518576,5.346323606048031e-05
0.9,0.39,0.8666666666666667,-0.033333333333333326,-0.03703703703703703,0.0002705644677303276
0.9,0.52,0.8333333333333333,-0.06666666666666676,-0.07407407407407418,0.000790062107086209
0.9,0.65,0.7833333333333334,-0.11666666666666659,-0.12962962962962954,0.0018588504351726431
0.9,0.78,0.7333333333333334,-0.16666666666666663,-0.18518518518518515,0.003795192270273695
0.9,0.91,0.6833333333333333,-0.21666666666666667,-0.24074074074074076,0.007159021129002241
0.9,1.04,0.6166666666666667,-0.2833333333333333,-0.3148148148148148,0.013200454849181087
0.9,1.17,0.5666666666666667,-0.33333333333333337,-0.3703703703703704,0.023626146697967254
0.9,1.3,0.5166666666666666,-0.3833333333333334,-0.425925925925926,0.040398129650559333
1.15,0.0,1.15,0.0,0.0,0.0
1.15,0.13,1.15,0.0,0.0,1.0626864601626096e-05
1.15,0.26,1.1166666666666667,-0.033333333333333215,-0.02898550724637671,7.603907811448707e-05
1.15,0.39,1.0833333333333333,-0.06666666666666665,-0.05797101449275362,0.0003630625488595385
1.15,0.52,1.0333333333333334,-0.11666666666666647,-0.10144927536231868,0.0010909633695552756
1.15,0.65,0.9666666666666666,-0.18333333333333335,-0.15942028985507248,0.002537870947338483
1.15,0.78,0.8833333333333333,-0.2666666666666666,-0.23188405797101447,0.0051192910345934095
1.15,0.91,0.8,-0.34999999999999987,-0.30434782608695643,0.009536325630801867
1.15,1.04,0.7166666666666666,-0.43333333333333335,-0.3768115942028986,0.0171776554194758
1.15,1.17,0.65,-0.4999999999999999,-0.4347826086956521,0.030416582672635473
1.15,1.3,0.5833333333333333,-0.5666666666666667,-0.4927536231884058,0.051489215643726105
1.4,0.0,1.4,0.0,0.0,0.0
1.4,0.13,1.3833333333333333,-0.016666666666666607,-0.011904761904761862,7.147036761967485e-06
1.4,0.26,1.3499999999999999,-0.050000000000000044,-0.03571428571428575,9.332987522947533e-05
1.4,0.39,1.3,-0.09999999999999987,-0.07142857142857134,0.0004483266192210067
1.4,0.52,1.2166666666666666,-0.18333333333333335,-0.13095238095238096,0.0013381580272140425
1.4,0.65,1.1333333333333333,-0.2666666666666666,-0.19047619047619044,0.0031012607474516507
1.4,0.78,1.0166666666666666,-0.3833333333333333,-0.2738095238095238,0.0061812796840183815
1.4,0.91,0.9166666666666667,-0.48333333333333317,-0.3452380952380951,0.011407016718905094
1.4,1.04,0.8,-0.5999999999999999,-0.4285714285714285,0.020303626568637823
1.4,1.17,0.7,-0.7,-0.5,0.03556660123212052
1.4,1.3,0.6166666666666667,-0.7833333333333332,-0.5595238095238094,0.059883685653630225
1.65,0.0,1.65,0.0,0.0,3.9968028886505635e-15
1.65,0.13,1.6333333333333333,-0.016666666666666607,-0.010101010101010065,6.92772563892774e-06
1.65,0.26,1.5833333333333333,-0.06666666666666665,-0.0404040404040404,0.00010713909505355446
1.65,0.39,1.5,-0.1499999999999999,-0.09090909090909086,0.0005162446790976105
1.65,0.52,1.4,-0.25,-0.15151515151515152,0.0015377881550451278
